Id,SalePrice
1461,121254.99867879631
1462,157143.1681050226
1463,176122.1663263886
1464,196288.13625868884
1465,192992.80150153706
1466,167889.7953973748
1467,172694.55303990262
1468,159575.82816692506
1469,197952.71170333683
1470,114084.646020769
1471,206992.4484244562
1472,113613.59526619583
1473,109347.70490389633
1474,154765.37618158665
1475,122825.19310088352
1476,336469.1744052891
1477,225986.48330408838
1478,277147.0004632581
1479,266894.1102222163
1480,528732.2909545023
1481,326767.6440360652
1482,209930.47594729322
1483,174933.64171947562
1484,173280.77708419473
1485,187820.35300701307
1486,202544.3581076568
1487,329513.86390542454
1488,236665.2956051921
1489,181356.06365127309
1490,234138.503748358
1491,198541.89037737314
1492,101140.13515085932
1493,200409.08192643092
1494,290697.3210891073
1495,295413.9682032573
1496,233129.82793937964
1497,185313.2950199766
1498,169449.19981043396
1499,168064.44986899348
1500,158836.49691514272
1501,167885.63400241465
1502,154951.4869263128
1503,276347.1207211487
1504,244582.49213779063
1505,228936.96599438434
1506,179890.61012810134
1507,269255.30560562405
1508,190487.02221155295
1509,151883.91373746542
1510,139088.2481939765
1511,139999.5512335675
1512,178086.56980463612
1513,141904.5763755702
1514,164017.8156836853
1515,191869.59877409408
1516,147788.74945372433
1517,171263.20884463657
1518,141333.4155915988
1519,225092.79774573955
1520,121946.30887843014
1521,124021.22910015736
1522,187568.86237628828
1523,104594.72507712316
1524,106247.52159972656
1525,115057.23282677616
1526,116815.46463003589
1527,99729.63613235918
1528,137927.68435217103
1529,136359.18834504517
1530,185613.92576026838
1531,111796.5487262715
1532,94768.88661384679
1533,144710.1934078515
1534,114355.53572624901
1535,168286.84001362656
1536,109593.41705743509
1537,81366.7981047081
1538,164086.53575857813
1539,188854.22021087585
1540,110561.144888232
1541,139394.58472529543
1542,152648.7029902699
1543,187786.39903938834
1544,87974.50814185684
1545,111957.38823959784
1546,137876.21712037676
1547,125624.39537207139
1548,123776.62929866763
1549,111157.66306326372
1550,129813.79216663685
1551,125461.75435603359
1552,136709.34059655125
1553,140296.5769951012
